type,properties/msha_id,properties/namemsha,properties/county,tot_prod,properties/notes,properties/year,geometry/type,lon,lat
Feature,1518826,Elk Creek Mine,Hopkins,3073998,,2013,Point,-87.40809999993229,37.32940000008967
Feature,1518829,Cam Creek Mine,Lawrence,14569,,2013,Point,-82.940832999731,38.03722200034065
Feature,1518839,Van Lear,Martin,751111,,2013,Point,-82.50640000012443,37.70190000016787
Feature,1518843,Line Creek No. 1,Rockcastle,13441,,2013,Point,-84.30361100041125,37.16638800026116
Feature,1518881,#9,Floyd,96857,,2013,Point,-82.67670000028528,37.55999999968252
Feature,1518884,Tram Mine #1,Floyd,63588,,2013,Point,-82.65638800025826,37.56916600023153
Feature,1518888,#12,Floyd,9048,Refuse coal is included,2013,Point,-82.81111099959344,37.49166600007816
Feature,1518889,Harlan Strip #1,Harlan,29885,,2013,Point,-83.1993999999471,36.780299999957975
Feature,1518890,Southeastern Auger No. 1,Mcdowell,22027,,2013,Point,-81.49663255419938,37.24833678441629
Feature,1518893,#8 Wallins Creek Strip,Harlan,1195,,2013,Point,-83.39969999989417,36.78749999999114
Feature,1518903,Job 22,Floyd,794,,2013,Point,-180,-90
Feature,1518911,Mine #28,Pike,330069,,2013,Point,-82.54530000019756,37.343600000192524
Feature,1518914,Highwall Miner #1,Pike,67591,,2013,Point,-82.61416599972173,37.304166000046045
Feature,1518936,No 1,Floyd,172554,,2013,Point,-82.65670000042779,37.634199999678
Feature,1518943,Mine No 5,Pike,84998,,2013,Point,-82.28940000014364,37.3197000002243
Feature,1518946,Job #49,Pike,152291,,2013,Point,-82.65000000032283,37.283299999663605
Feature,1518947,Bull Creek Surface Mine,Magoffin,786,,2013,Point,-82.93439999958974,37.546100000100886
Feature,1518966,East Mac & Nellie,Perry,1148184,,2013,Point,-83.16749999955458,37.382200000230924
Feature,1518978,Buckeye Highwall Miner,Perry,164140,,2013,Point,-83.10440000017493,37.23530000019843
Feature,1518980,Frasure Branch,Floyd,279945,,2013,Point,-82.6881000003298,37.47220000005951
Feature,1518982,Sturgeon Freeman Fork,Breathitt,28759,,2013,Point,-83.53470000027961,37.3457999998007
Feature,1518988,Red Fox,Letcher,51448,,2013,Point,-82.91969999972144,37.21500000013301
Feature,1518998,Blackhawk #2 Surface Mine,Floyd,312160,,2013,Point,-82.72500000023753,37.52360000026061
Feature,1519002,Josie Mine #2,Whitley,7245,,2013,Point,-84.10416599988363,36.80777699974074
